hours,week,day,date
0,0,0,Jan 27
0,0,1,Jan 28
0,0,2,Jan 29
0,0,3,Jan 20
0,0,4,Jan 31
6.916666667,0,5,Feb 1
8,0,6,Feb 2
6.5,1,0,Feb 3
6.666666667,1,1,Feb 4
6.75,1,2,Feb 5
5.75,1,3,Feb 6
7.5,1,4,Feb 7
10,1,5,Feb 8
6.5,1,6,Feb 9
9.5,2,0,Feb 10
7.5,2,1,Feb 11
8.5,2,2,Feb 12
9.5,2,3,Feb 13
8.5,2,4,Feb 14
7.5,2,5,Feb 15
7.5,2,6,Feb 16
8,3,0,Feb 17
6.5,3,1,Feb 18
6.5,3,2,Feb 19
7,3,3,Feb 20
7,3,4,Feb 21
7,3,5,Feb 22
10,3,6,Feb 23
7,4,0,Feb 24
6.9,4,1,Feb 25
7,4,2,Feb 26
6.8,4,3,Feb 27
7.2,4,4,Feb 28
0,4,5,Mar 1
0,4,6,Mar 2
