hours,week,day,date
0,0,0,Dec 30
0,0,1,Dec 31
9,0,2,Jan 1
10.5,0,3,Jan 2
9.5,0,4,Jan 3
9,0,5,Jan 4
8,0,6,Jan 5
8,1,0,Jan 6
7.5,1,1,Jan 7
6.5,1,2,Jan 8
6.5,1,3,Jan 9
6.5,1,4,Jan 10
7,1,5,Jan 11
8.5,1,6,Jan 12
8,2,0,Jan 13
7.5,2,1,Jan 14
6.666666667,2,2,Jan 15
7,2,3,Jan 16
5.5,2,4,Jan 17
7,2,5,Jan 18
7,2,6,Jan 19
6,3,0,Jan 20
5.083333333,3,1,Jan 21
7,3,2,Jan 22
8.833333333,3,3,Jan 23
5.5,3,4,Jan 24
7.5,3,5,Jan 25
6.5,3,6,Jan 26
7,4,0,Jan 27
9,4,1,Jan 28
7.5,4,2,Jan 29
6.5,4,3,Jan 30
7,4,4,Jan 31
0,4,5,Feb 1
0,4,6,Feb 2
